Occurrence_year,Homicide_Type,Neighbourhood,Lat,Long,postcode
78,2005,Shooting,Birchcliffe-Cliffside (122),43.685314,-79.281258,M1N 2S4
79,2005,Shooting,South Parkdale (85),43.637180,-79.436035,M6K 1M3
80,2005,Other,Waterfront Communities-The Island (77),43.642391,-79.384010,M5J 3A6
81,2005,Shooting,Humber Summit (21),43.751442,-79.552986,M9L 1X9
82,2005,Stabbing,Agincourt North (129),43.807812,-79.284157,M1V 1H6
83,2005,Shooting,Dovercourt-Wallace Emerson-Junction (93),43.659885,-79.435364,M6H 1M7
84,2005,Stabbing,Glenfield-Jane Heights (25),43.755215,-79.515358,M3N 2V2
85,2005,Shooting,Danforth (66),43.679569,-79.341774,M4K 1P6
86,2005,Shooting,Church-Yonge Corridor (75),43.667374,-79.381638,M4Y 2C7
87,2005,Shooting,Agincourt South-Malvern West (128),43.784107,-79.241631,M1S 3R1
88,2005,Shooting,West Hill (136),43.758167,-79.193054,M1E 1W7
89,2005,Stabbing,Glenfield-Jane Heights (25),43.739674,-79.509682,M3L 1Y6
90,2005,Shooting,East End-Danforth (62),43.689720,-79.294922,M4C 1M1
91,2005,Shooting,Black Creek (24),43.766773,-79.521873,M3N 1S9
92,2005,Stabbing,Englemount-Lawrence (32),43.720131,-79.441025,M6A 2N4
93,2005,Shooting,Dovercourt-Wallace Emerson-Junction (93),43.666431,-79.438187,M6H 3G4
94,2005,Shooting,Humber Summit (21),43.746250,-79.568619,M9V 1V9
95,2005,Other,Oakridge (121),43.694626,-79.272530,M1L 1E3
96,2005,Shooting,Rockcliffe-Smythe (111),43.678806,-79.482903,NOTAVAIL
97,2005,Other,Parkwoods-Donalda (45),43.743374,-79.325851,M3A 1E9
98,2005,Other,West Hill (136),43.769825,-79.191681,M1E 1X5
99,2005,Shooting,Englemount-Lawrence (32),43.720131,-79.441025,M6A 2N4
100,2005,Shooting,L'Amoreaux (117),43.796776,-79.315765,M1W 2R5
101,2012,Shooting,Dufferin Grove (83),43.654278,-79.437302,M6H 1N4
102,2012,Shooting,Lansing-Westgate (38),43.757469,-79.425423,M2N 1N1
103,2012,Shooting,Lansing-Westgate (38),43.757469,-79.425423,M2N 1N1
104,2012,Other,L'Amoreaux (117),43.784492,-79.315231,M1T 1P7
105,2012,Other,Willowdale East (51),43.765659,-79.411995,M2N 7G9
106,2010,Stabbing,Casa Loma (96),43.680050,-79.415855,M5R 3E6
107,2012,Stabbing,Kingsway South (15),43.649403,-79.519646,M9A 3N7
108,2010,Other,Dovercourt-Wallace Emerson-Junction (93),43.665375,-79.443443,M6H 2A6
109,2010,Stabbing,High Park-Swansea (87),43.640427,-79.473381,NOTAVAIL
110,2010,Other,New Toronto (18),43.599327,-79.511864,M8V 1K3
111,2010,Stabbing,Kingsview Village-The Westway (6),43.694252,-79.558647,M9R 2K5
112,2010,Stabbing,Rockcliffe-Smythe (111),43.676105,-79.505943,NOTAVAIL
113,2010,Shooting,York University Heights (27),43.744782,-79.486450,M3J 1P5
114,2010,Stabbing,Annex (95),43.668392,-79.402023,M5R 2R3
115,2012,Shooting,Rockcliffe-Smythe (111),43.672764,-79.487625,NOTAVAIL
116,2012,Stabbing,Wexford/Maryvale (119),43.732555,-79.305893,M1R 1P8
117,2012,Other,High Park North (88),43.657547,-79.465248,NOTAVAIL
118,2012,Shooting,Englemount-Lawrence (32),43.722610,-79.441864,NOTAVAIL
119,2012,Shooting,Yonge-Eglinton (100),43.697929,-79.403320,M5P 1C7
120,2012,Other,Oakridge (121),43.703220,-79.279518,M1L 3Z3
121,2012,Shooting,Lambton Baby Point (114),43.664887,-79.501503,NOTAVAIL
122,2012,Other,Moss Park (73),43.650734,-79.370689,M5A 1J4
123,2012,Shooting,Centennial Scarborough (133),43.786495,-79.155266,M1C 0A1
124,2012,Shooting,Church-Yonge Corridor (75),43.654064,-79.379974,M5B 1M4
125,2012,Shooting,Church-Yonge Corridor (75),43.654064,-79.379974,M5B 1M4
126,2012,Shooting,Palmerston-Little Italy (80),43.655247,-79.418327,M6G 1C2
127,2012,Shooting,Dorset Park (126),43.769424,-79.282257,M1P 5B7
128,2012,Shooting,Willowdale East (51),43.756504,-79.406570,M2N 0C2
129,2012,Shooting,Islington-City Centre West (14),43.649071,-79.558350,M9B 2A8
130,2012,Shooting,West Hill (136),43.764870,-79.184883,M1E 4S6
131,2012,Shooting,West Hill (136),43.764870,-79.184883,M1E 4S6
132,2012,Shooting,Mount Dennis (115),43.684383,-79.504219,NOTAVAIL
133,2012,Shooting,Englemount-Lawrence (32),43.719486,-79.443909,M6A 2N4
134,2012,Other,Agincourt South-Malvern West (128),43.781223,-79.254982,M1S 3P6
135,2012,Shooting,Black Creek (24),43.767212,-79.514770,M3N 2K7
136,2012,Other,Malvern (132),43.806538,-79.218651,M1B 3G5
137,2012,Other,Clairlea-Birchmount (120),43.727947,-79.282761,M1L 2M3
138,2012,Shooting,Malvern (132),43.808357,-79.206535,M1B 3A9
139,2012,Shooting,East End-Danforth (62),43.678886,-79.298027,M4E 1R7
140,2012,Shooting,Glenfield-Jane Heights (25),43.747097,-79.515129,M3N 1K1
141,2012,Other,Briar Hill-Belgravia (108),43.702255,-79.441109,M6E 3B5
142,2012,Shooting,Mount Olive-Silverstone-Jamestown (2),43.733971,-79.582611,M9V 3M5
143,2012,Shooting,Mount Olive-Silverstone-Jamestown (2),43.733971,-79.582611,M9V 3M5
144,2012,Shooting,Black Creek (24),43.757870,-79.515465,M3N 2Y9
145,2012,Other,Woburn (137),43.775745,-79.234993,M1H 3B7
146,2012,Stabbing,Cabbagetown-South St.James Town (71),43.664520,-79.370888,M5A 2L1
147,2012,Shooting,Morningside (135),43.785892,-79.213562,M1E 4E6
148,2012,Shooting,Yorkdale-Glen Park (31),43.720859,-79.449371,M6A 2R1
149,2012,Stabbing,South Parkdale (85),43.636929,-79.437271,NOTAVAIL
150,2012,Shooting,Mount Dennis (115),43.688309,-79.493141,M6M 5C4
151,2012,Shooting,University (79),43.656723,-79.406517,M5T 1T3
152,2012,Other,Mount Olive-Silverstone-Jamestown (2),43.736351,-79.581047,M9V 3M5
153,2012,Other,Woodbine Corridor (64),43.679684,-79.314301,M4L 2C2
154,2012,Stabbing,Flemingdon Park (44),43.723702,-79.324707,M3C 1L3
155,2012,Shooting,Downsview-Roding-CFB (26),43.733581,-79.483727,M3M 2C9
156,2012,Other,Playter Estates-Danforth (67),43.677525,-79.358650,M4K 1N1
157,2012,Stabbing,North St.James Town (74),43.667297,-79.373779,M4X 1P8
158,2012,Other,Markland Wood (12),43.633270,-79.582756,M9C 1R1
159,2012,Shooting,Markland Wood (12),43.633270,-79.582756,M9C 1R1
160,2010,Shooting,Bendale (127),43.755901,-79.266663,M1P 2S1
161,2010,Shooting,Kensington-Chinatown (78),43.652260,-79.397789,M5T 2E4
162,2010,Stabbing,Bendale (127),43.755264,-79.246758,M1P 2T7
163,2010,Shooting,Flemingdon Park (44),43.715313,-79.329651,M3C 3E7
164,2010,Shooting,Agincourt South-Malvern West (128),43.787411,-79.259125,NOTAVAIL
165,2010,Shooting,Glenfield-Jane Heights (25),43.740326,-79.506882,M3L 1Z5
166,2010,Shooting,West Humber-Clairville (1),43.731690,-79.611816,M9W 5L7
167,2010,Stabbing,Flemingdon Park (44),43.716557,-79.337318,M3C 1V4
168,2010,Shooting,Islington-City Centre West (14),43.646774,-79.530556,M9A 1B6
169,2010,Shooting,North St.James Town (74),43.668873,-79.374451,M4X 1G3
170,2010,Shooting,Englemount-Lawrence (32),43.722610,-79.441864,M6A 2N4
171,2010,Stabbing,Dufferin Grove (83),43.651432,-79.440193,M6H 1C5
172,2010,Shooting,Woburn (137),43.759319,-79.232025,M1H 1S2
173,2010,Shooting,Black Creek (24),43.761921,-79.518822,M3N 2X9
174,2010,Stabbing,Humber Heights-Westmount (8),43.686852,-79.513145,M9P 1E9
175,2010,Other,Junction Area (90),43.666336,-79.473579,NOTAVAIL
176,2010,Shooting,Weston (113),43.699822,-79.515366,M9N 2B3
177,2010,Shooting,Weston (113),43.699822,-79.515366,M9N 2B3
178,2010,Shooting,South Parkdale (85),43.633755,-79.433319,M6K 2V4
179,2010,Other,Wexford/Maryvale (119),43.738800,-79.308464,NOTAVAIL
180,2010,Shooting,Black Creek (24),43.757870,-79.515465,M3N 2Y9
181,2010,Shooting,Regent Park (72),43.660343,-79.359077,M5A 1X6
182,2010,Shooting,Regent Park (72),43.660343,-79.359077,M5A 1X6
183,2010,Shooting,Clairlea-Birchmount (120),43.702400,-79.276993,M1L 3Z3
184,2010,Shooting,Regent Park (72),43.657455,-79.362701,M5A 3N6
185,2010,Stabbing,South Riverdale (70),43.663677,-79.353752,M4M 2B3
186,2010,Shooting,Willowdale West (37),43.771706,-79.414581,M2N 2N1
187,2010,Shooting,Don Valley Village (47),43.787350,-79.353027,M2Z 3C1
188,2010,Shooting,Glenfield-Jane Heights (25),43.741077,-79.503403,M3L 1Y5
189,2010,Shooting,Woburn (137),43.759319,-79.232025,M1H 1S2
190,2010,Other,Waterfront Communities-The Island (77),43.644749,-79.391792,M5V 3H2
191,2010,Shooting,Regent Park (72),43.661202,-79.358162,M5A 3N9
192,2010,Other,East End-Danforth (62),43.683952,-79.300156,M4E 2C6
193,2010,Shooting,Rockcliffe-Smythe (111),43.671673,-79.493752,NOTAVAIL
194,2010,Other,Cabbagetown-South St.James Town (71),43.665058,-79.368301,NOTAVAIL
195,2010,Other,Brookhaven-Amesbury (30),43.696430,-79.490166,M6M 5E6
196,2010,Other,Morningside (135),43.766804,-79.206787,M1G 3G9
197,2013,Stabbing,York University Heights (27),43.777721,-79.494652,M3J
198,2013,Shooting,Regent Park (72),43.660343,-79.359077,M5A 1X6
199,2013,Other,Willowridge-Martingrove-Richview (7),43.675716,-79.568436,M9R 3V7
200,2005,Shooting,Church-Yonge Corridor (75),43.657417,-79.381371,M5B 1R8
201,2005,Shooting,Mount Olive-Silverstone-Jamestown (2),43.733971,-79.582611,M9V 3M5
202,2005,Shooting,L'Amoreaux (117),43.798180,-79.333130,M1W 2K7
203,2005,Shooting,Cabbagetown-South St.James Town (71),43.665741,-79.375519,M4X 1K2
204,2005,Shooting,Cabbagetown-South St.James Town (71),43.665741,-79.375519,M4X 1K2
205,2005,Shooting,Humber Heights-Westmount (8),43.695824,-79.520592,M9N 1X4
206,2005,Shooting,North St.James Town (74),43.667095,-79.374680,M4X 1K2
207,2005,Shooting,Flemingdon Park (44),43.718735,-79.334953,M3C 1C3
208,2005,Other,Bendale (127),43.758125,-79.266625,M1P 3C1
209,2005,Other,New Toronto (18),43.603004,-79.507484,M8V 3W7
210,2005,Shooting,Scarborough Village (139),43.742836,-79.220558,NOTAVAIL
211,2005,Shooting,Glenfield-Jane Heights (25),43.739128,-79.509521,M3L 2E8
212,2005,Other,Moss Park (73),43.656166,-79.370125,M5A 1Z9
213,2005,Stabbing,Banbury-Don Mills (42),43.740276,-79.343658,M3B 3K8
214,2005,Shooting,Rustic (28),43.704922,-79.502274,M9N 2S4
215,2005,Shooting,Niagara (82),43.635239,-79.399200,M5V 1B3
216,2005,Shooting,Black Creek (24),43.767212,-79.514770,M3N 2K7
217,2005,Shooting,Glenfield-Jane Heights (25),43.751896,-79.516342,M3N 2Y9
218,2005,Shooting,South Parkdale (85),43.637463,-79.434723,M6K 2Y3
219,2005,Shooting,Elms-Old Rexdale (5),43.727291,-79.549362,M9W 2N8
220,2005,Shooting,Elms-Old Rexdale (5),43.727291,-79.549362,M9W 2N8
221,2005,Shooting,Elms-Old Rexdale (5),43.727291,-79.549362,M9W 2N8
222,2005,Other,Old East York (58),43.694546,-79.335266,M4J 2R2
223,2005,Stabbing,West Hill (136),43.770397,-79.162628,M1E 3Y3
224,2005,Shooting,Mount Olive-Silverstone-Jamestown (2),43.738697,-79.588531,NOTAVAIL
225,2005,Shooting,Mount Olive-Silverstone-Jamestown (2),43.736774,-79.591705,M9V 3L5
226,2005,Shooting,Mount Olive-Silverstone-Jamestown (2),43.736774,-79.591705,M9V 3L5
227,2005,Shooting,L'Amoreaux (117),43.798180,-79.333130,M1W 2K7
228,2005,Shooting,Briar Hill-Belgravia (108),43.697304,-79.442795,M6C 2E5
229,2005,Stabbing,Willowdale East (51),43.756504,-79.406570,M2N 0C2
230,2005,Shooting,Weston-Pellam Park (91),43.680725,-79.463631,NOTAVAIL
231,2005,Shooting,Mount Olive-Silverstone-Jamestown (2),43.741787,-79.593315,M9V 2E9
232,2005,Other,O'Connor-Parkview (54),43.715309,-79.301575,M4B 2V7
233,2005,Stabbing,Dorset Park (126),43.745464,-79.277908,M1P 1C8
