Index;Lat;Long;Price;Address;Bedroom;Bathroom;TotalRoom;PriceFor2Room;Shortpostcode
99;43.705123;-79.530091;1799.0;2304 Weston Road;2;1.0;3.0;1199.333333;M9N
102;43.643051;-79.391643;2150.0;361 Front St W;1;1.0;2.0;2150.000000;M5V
103;43.652487;-79.389622;1800.0;80 St Patrick St;1;1.0;2.0;1800.000000;M5T
104;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
107;43.669550;-79.383776;2000.0;50 Charles St E;1;1.0;2.0;2000.000000;M4Y
110;43.666752;-79.376235;4100.0;120 Homewood Ave;2;2.0;4.0;2050.000000;M4X
111;43.655069;-79.387470;1200.0;;1;1.0;2.0;1200.000000;M5G
118;43.639406;-79.393232;3150.0;11 Brunel Ct;2;2.0;4.0;1575.000000;M5V
119;43.643051;-79.391643;2150.0;361 Front St W;1;1.0;2.0;2150.000000;M5V
121;43.655988;-79.358877;3200.0;52 Sumach St;1;1.0;2.0;3200.000000;M5A
122;43.641873;-79.381906;2400.0;12 York St;1;1.0;2.0;2400.000000;M5J
124;43.652757;-79.366511;2480.0;460 Adelaide St E;1;1.0;2.0;2480.000000;M5A
125;43.645809;-79.375682;3000.0;1 The Esplanade;1;1.0;2.0;3000.000000;M5E
126;43.644864;-79.399060;2250.0;560 King St W;1;1.0;2.0;2250.000000;M5V
131;43.645809;-79.375682;3400.0;1 The Esplanade;2;2.0;4.0;1700.000000;M5E
133;43.669451;-79.387470;2550.0;The Uptown Residences;1;1.0;2.0;2550.000000;M4W
136;43.638521;-79.399464;2300.0;70 Queens Wharf Rd;1;1.0;2.0;2300.000000;M5V
137;43.660846;-79.378756;2250.0;365 Church St;1;1.0;2.0;2250.000000;M5B
138;43.643105;-79.375906;3200.0;12 Yonge St;2;2.0;4.0;1600.000000;M5E
139;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
142;43.648900;-79.392205;2550.0;318 Richmond St W;1;1.0;2.0;2550.000000;M5V
143;43.648573;-79.376275;1900.0;88 Scott St;1;1.0;2.0;1900.000000;M5E
146;43.653075;-79.370179;2000.0;255 Richmond St E;1;1.0;2.0;2000.000000;M5A
147;43.673994;-79.441685;1650.0;1512 Dufferin Street;1;1.0;2.0;1650.000000;M6H
148;43.641569;-79.424603;2889.0;170 Sudbury St;2;1.0;3.0;1926.000000;M6J
149;43.660605;-79.378635;2800.0;89 McGill St;2;2.0;4.0;1400.000000;M5B
154;43.640068;-79.399960;2400.0;70 Queens Wharf Rd;1;1.0;2.0;2400.000000;M5V
155;43.660605;-79.378635;2000.0;89 McGill St;1;1.0;2.0;2000.000000;M5B
158;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
159;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
160;43.670878;-79.376696;1950.0;28 Linden Street;1;1.0;2.0;1950.000000;M4Y
161;43.661927;-79.386511;2250.0;832 Bay St;1;1.0;2.0;2250.000000;M5S
167;43.637153;-79.427092;2230.0;200 Dufferin Street;2;1.0;3.0;1486.666667;M6K
168;43.664056;-79.373790;1785.0;392 Sherbourne Street;1;1.0;2.0;1785.000000;M5A
169;43.664056;-79.373790;1535.0;392 Sherbourne Street;1;1.0;2.0;1535.000000;M5A
170;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
171;43.652487;-79.389622;1800.0;80 St Patrick St;1;1.0;2.0;1800.000000;M5T
172;43.643105;-79.375906;3200.0;12 Yonge St;2;2.0;4.0;1600.000000;M5E
174;43.637153;-79.427092;1475.0;200 Dufferin Street;1;1.0;2.0;1475.000000;M6K
175;43.664581;-79.382296;1815.0;36 Maitland Street;1;1.0;2.0;1815.000000;M4Y
176;43.637153;-79.427092;1755.0;200 Dufferin Street;1;1.0;2.0;1755.000000;M6K
177;43.645077;-79.364342;2450.0;15 Merchants Wharf;1;1.0;2.0;2450.000000;M5A
178;43.652210;-79.370799;2200.0;105 George St;1;1.0;2.0;2200.000000;M5A
181;43.639406;-79.393232;2424.0;11 Brunel Ct;1;1.0;2.0;2424.000000;M5V
182;43.670159;-79.375638;1700.0;565 Sherbourne Street;1;1.0;2.0;1700.000000;M4X
183;43.668468;-79.374834;1400.0;545 - 555 Sherbourne Street;1;1.0;2.0;1400.000000;M4X
184;43.668468;-79.374834;1700.0;545 - 555 Sherbourne Street;1;1.0;2.0;1700.000000;M4X
188;43.648900;-79.392205;2550.0;318 Richmond St W;1;1.0;2.0;2550.000000;M5V
189;43.639406;-79.393232;3150.0;11 Brunel Ct;2;2.0;4.0;1575.000000;M5V
192;43.641806;-79.378981;1830.0;100 Harbour St;1;1.0;2.0;1830.000000;M5J
193;43.665588;-79.383028;2000.0;28 Wellesley Street East;1;1.0;2.0;2000.000000;M4Y
194;43.691147;-79.471435;1850.0;2548 Eglinton Ave W;2;1.0;3.0;1233.333333;M6M
195;43.648858;-79.433007;1300.0;101 Sheridan Ave;2;1.0;3.0;866.666667;M6K
196;43.642679;-79.376994;2275.0;33 Bay St;1;1.0;2.0;2275.000000;M5E
198;43.640223;-79.395951;2500.0;10 Capreol Ct;1;2.0;3.0;1666.666667;M5V
200;43.641908;-79.381780;2000.0;14 York St;1;1.0;2.0;2000.000000;M5J
201;43.640351;-79.427522;2574.0;295 Dufferin St.;2;1.0;3.0;1716.000000;M6K
202;43.640351;-79.427522;2591.0;295 Dufferin St.;2;1.0;3.0;1727.333333;M6K
204;43.654155;-79.385211;550.0;89 Chestnut St;1;1.0;2.0;550.000000;M5G
205;43.643208;-79.392110;3200.0;Front St W;2;2.0;4.0;1600.000000;M5V
206;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
207;43.654842;-79.379202;3099.0;220 Victoria St;2;2.0;4.0;1549.500000;M5B
208;43.665588;-79.383028;3700.0;28 Wellesley St E;2;2.0;4.0;1850.000000;M4Y
210;43.640816;-79.381752;1500.0;;2;1.0;3.0;1000.000000;M5J
211;43.655192;-79.353912;2999.0;170 Bayview Ave;2;2.0;4.0;1499.500000;M5A
212;43.639934;-79.416445;2100.0;125 Western Battey st;1;1.0;2.0;2100.000000;M6K
214;43.705123;-79.530091;2050.0;2304 Weston Road;3;1.5;4.5;911.111111;M9N
215;43.705123;-79.530091;1525.0;2304 Weston Road;1;1.0;2.0;1525.000000;M9N
216;43.705123;-79.530091;1799.0;2304 Weston Road;2;1.0;3.0;1199.333333;M9N
219;43.643051;-79.391643;2150.0;361 Front St W;1;1.0;2.0;2150.000000;M5V
